ID,date,day_name,month,month_name,quarter,quarter_name,year,year_name
482,10/19/19,Saturday,10,October,4,Q4,2019,2019
483,3/3/20,Tuesday,3,March,1,Q1,2020,2020
484,7/17/19,Wednesday,7,July,3,Q3,2019,2019
485,6/5/19,Wednesday,6,June,2,Q2,2019,2019
486,9/16/19,Monday,9,September,3,Q3,2019,2019
487,1/31/19,Thursday,1,January,1,Q1,2019,2019
488,12/27/19,Friday,12,December,4,Q4,2019,2019
489,9/8/19,Sunday,9,September,3,Q3,2019,2019
490,9/26/19,Thursday,9,September,3,Q3,2019,2019
491,3/31/19,Sunday,3,March,1,Q1,2019,2019
492,4/5/19,Friday,4,April,2,Q2,2019,2019
493,6/29/19,Saturday,6,June,2,Q2,2019,2019
494,9/22/19,Sunday,9,September,3,Q3,2019,2019
495,2/20/19,Wednesday,2,February,1,Q1,2019,2019
496,8/26/19,Monday,8,August,3,Q3,2019,2019
497,12/7/19,Saturday,12,December,4,Q4,2019,2019
498,8/26/19,Monday,8,August,3,Q3,2019,2019
499,5/21/19,Tuesday,5,May,2,Q2,2019,2019
500,9/29/19,Sunday,9,September,3,Q3,2019,2019
501,5/27/19,Monday,5,May,2,Q2,2019,2019
502,4/24/19,Wednesday,4,April,2,Q2,2019,2019
503,12/11/19,Wednesday,12,December,4,Q4,2019,2019
504,5/5/19,Sunday,5,May,2,Q2,2019,2019
505,2/4/20,Tuesday,2,February,1,Q1,2020,2020
506,7/4/19,Thursday,7,July,3,Q3,2019,2019
507,6/30/19,Sunday,6,June,2,Q2,2019,2019
508,1/18/20,Saturday,1,January,1,Q1,2020,2020
509,4/13/19,Saturday,4,April,2,Q2,2019,2019
510,2/22/19,Friday,2,February,1,Q1,2019,2019
511,8/12/19,Monday,8,August,3,Q3,2019,2019
512,10/24/19,Thursday,10,October,4,Q4,2019,2019
513,3/26/19,Tuesday,3,March,1,Q1,2019,2019
514,4/13/19,Saturday,4,April,2,Q2,2019,2019
515,6/23/19,Sunday,6,June,2,Q2,2019,2019
516,1/28/20,Tuesday,1,January,1,Q1,2020,2020
517,8/28/19,Wednesday,8,August,3,Q3,2019,2019
518,3/20/19,Wednesday,3,March,1,Q1,2019,2019
519,9/10/19,Tuesday,9,September,3,Q3,2019,2019
520,12/9/19,Monday,12,December,4,Q4,2019,2019
521,4/2/19,Tuesday,4,April,2,Q2,2019,2019
522,4/15/19,Monday,4,April,2,Q2,2019,2019
523,1/19/19,Saturday,1,January,1,Q1,2019,2019
524,2/21/20,Friday,2,February,1,Q1,2020,2020
525,3/12/19,Tuesday,3,March,1,Q1,2019,2019
526,2/13/20,Thursday,2,February,1,Q1,2020,2020
527,10/3/19,Thursday,10,October,4,Q4,2019,2019
528,10/30/19,Wednesday,10,October,4,Q4,2019,2019
529,1/13/20,Monday,1,January,1,Q1,2020,2020
530,4/15/19,Monday,4,April,2,Q2,2019,2019
531,6/11/19,Tuesday,6,June,2,Q2,2019,2019
532,1/6/20,Monday,1,January,1,Q1,2020,2020
533,11/5/19,Tuesday,11,November,4,Q4,2019,2019
534,12/20/19,Friday,12,December,4,Q4,2019,2019
535,12/26/19,Thursday,12,December,4,Q4,2019,2019
536,12/17/19,Tuesday,12,December,4,Q4,2019,2019
537,9/6/19,Friday,9,September,3,Q3,2019,2019
538,8/21/19,Wednesday,8,August,3,Q3,2019,2019
539,11/20/19,Wednesday,11,November,4,Q4,2019,2019
540,8/1/19,Thursday,8,August,3,Q3,2019,2019
541,4/2/19,Tuesday,4,April,2,Q2,2019,2019
542,2/16/20,Sunday,2,February,1,Q1,2020,2020
543,10/9/19,Wednesday,10,October,4,Q4,2019,2019
544,3/10/19,Sunday,3,March,1,Q1,2019,2019
545,10/29/19,Tuesday,10,October,4,Q4,2019,2019
546,5/16/19,Thursday,5,May,2,Q2,2019,2019
547,10/26/19,Saturday,10,October,4,Q4,2019,2019
548,7/28/19,Sunday,7,July,3,Q3,2019,2019
549,2/14/20,Friday,2,February,1,Q1,2020,2020
550,7/7/19,Sunday,7,July,3,Q3,2019,2019
551,3/29/19,Friday,3,March,1,Q1,2019,2019
552,3/19/20,Thursday,3,March,1,Q1,2020,2020
553,7/21/19,Sunday,7,July,3,Q3,2019,2019
554,1/21/20,Tuesday,1,January,1,Q1,2020,2020
555,2/6/20,Thursday,2,February,1,Q1,2020,2020
556,3/17/19,Sunday,3,March,1,Q1,2019,2019
557,3/13/20,Friday,3,March,1,Q1,2020,2020
558,6/1/19,Saturday,6,June,2,Q2,2019,2019
559,5/18/19,Saturday,5,May,2,Q2,2019,2019
560,6/10/19,Monday,6,June,2,Q2,2019,2019
561,5/14/19,Tuesday,5,May,2,Q2,2019,2019
562,8/6/19,Tuesday,8,August,3,Q3,2019,2019
563,7/2/19,Tuesday,7,July,3,Q3,2019,2019
564,5/10/19,Friday,5,May,2,Q2,2019,2019
565,11/16/19,Saturday,11,November,4,Q4,2019,2019
566,9/6/19,Friday,9,September,3,Q3,2019,2019
567,11/19/19,Tuesday,11,November,4,Q4,2019,2019
568,1/3/20,Friday,1,January,1,Q1,2020,2020
569,5/10/19,Friday,5,May,2,Q2,2019,2019
570,11/9/19,Saturday,11,November,4,Q4,2019,2019
571,11/8/19,Friday,11,November,4,Q4,2019,2019
572,6/16/19,Sunday,6,June,2,Q2,2019,2019
573,2/16/19,Saturday,2,February,1,Q1,2019,2019
574,11/10/19,Sunday,11,November,4,Q4,2019,2019
575,12/26/19,Thursday,12,December,4,Q4,2019,2019
576,5/4/19,Saturday,5,May,2,Q2,2019,2019
577,1/4/20,Saturday,1,January,1,Q1,2020,2020
578,2/5/20,Wednesday,2,February,1,Q1,2020,2020
579,6/28/19,Friday,6,June,2,Q2,2019,2019
580,12/30/19,Monday,12,December,4,Q4,2019,2019
581,1/7/20,Tuesday,1,January,1,Q1,2020,2020
582,1/12/20,Sunday,1,January,1,Q1,2020,2020
583,9/6/19,Friday,9,September,3,Q3,2019,2019
584,9/6/19,Friday,9,September,3,Q3,2019,2019
585,9/11/19,Wednesday,9,September,3,Q3,2019,2019
586,10/17/19,Thursday,10,October,4,Q4,2019,2019
587,6/21/19,Friday,6,June,2,Q2,2019,2019
588,8/23/19,Friday,8,August,3,Q3,2019,2019
589,12/21/19,Saturday,12,December,4,Q4,2019,2019
590,3/16/20,Monday,3,March,1,Q1,2020,2020
591,11/30/19,Saturday,11,November,4,Q4,2019,2019
592,1/11/20,Saturday,1,January,1,Q1,2020,2020
593,8/13/19,Tuesday,8,August,3,Q3,2019,2019
594,3/30/19,Saturday,3,March,1,Q1,2019,2019
595,11/25/19,Monday,11,November,4,Q4,2019,2019
596,1/13/20,Monday,1,January,1,Q1,2020,2020
597,11/2/19,Saturday,11,November,4,Q4,2019,2019
598,7/8/19,Monday,7,July,3,Q3,2019,2019
599,8/21/19,Wednesday,8,August,3,Q3,2019,2019
600,9/23/19,Monday,9,September,3,Q3,2019,2019
601,8/23/19,Friday,8,August,3,Q3,2019,2019
602,4/21/19,Sunday,4,April,2,Q2,2019,2019
603,4/10/19,Wednesday,4,April,2,Q2,2019,2019
604,2/4/19,Monday,2,February,1,Q1,2019,2019
605,6/22/19,Saturday,6,June,2,Q2,2019,2019
606,8/1/19,Thursday,8,August,3,Q3,2019,2019
607,3/16/19,Saturday,3,March,1,Q1,2019,2019
608,10/21/19,Monday,10,October,4,Q4,2019,2019
609,8/29/19,Thursday,8,August,3,Q3,2019,2019
610,9/2/19,Monday,9,September,3,Q3,2019,2019
611,2/15/19,Friday,2,February,1,Q1,2019,2019
612,12/2/19,Monday,12,December,4,Q4,2019,2019
613,6/5/19,Wednesday,6,June,2,Q2,2019,2019
614,10/10/19,Thursday,10,October,4,Q4,2019,2019
615,1/17/20,Friday,1,January,1,Q1,2020,2020
616,12/30/19,Monday,12,December,4,Q4,2019,2019
617,3/22/19,Friday,3,March,1,Q1,2019,2019
618,6/10/19,Monday,6,June,2,Q2,2019,2019
619,4/5/19,Friday,4,April,2,Q2,2019,2019
620,3/16/19,Saturday,3,March,1,Q1,2019,2019
621,10/3/19,Thursday,10,October,4,Q4,2019,2019
622,5/14/19,Tuesday,5,May,2,Q2,2019,2019
623,12/19/19,Thursday,12,December,4,Q4,2019,2019
624,4/27/19,Saturday,4,April,2,Q2,2019,2019
625,11/26/19,Tuesday,11,November,4,Q4,2019,2019
626,6/26/19,Wednesday,6,June,2,Q2,2019,2019
627,7/4/19,Thursday,7,July,3,Q3,2019,2019
628,10/10/19,Thursday,10,October,4,Q4,2019,2019
629,7/11/19,Thursday,7,July,3,Q3,2019,2019
630,5/12/19,Sunday,5,May,2,Q2,2019,2019
631,5/30/19,Thursday,5,May,2,Q2,2019,2019
632,9/30/19,Monday,9,September,3,Q3,2019,2019
633,4/6/19,Saturday,4,April,2,Q2,2019,2019
634,6/18/19,Tuesday,6,June,2,Q2,2019,2019
635,6/20/19,Thursday,6,June,2,Q2,2019,2019
636,5/15/19,Wednesday,5,May,2,Q2,2019,2019
637,4/4/19,Thursday,4,April,2,Q2,2019,2019
638,7/18/19,Thursday,7,July,3,Q3,2019,2019
639,1/19/19,Saturday,1,January,1,Q1,2019,2019
640,12/14/19,Saturday,12,December,4,Q4,2019,2019
641,2/20/19,Wednesday,2,February,1,Q1,2019,2019
642,12/20/19,Friday,12,December,4,Q4,2019,2019
643,9/5/19,Thursday,9,September,3,Q3,2019,2019
644,12/24/19,Tuesday,12,December,4,Q4,2019,2019
645,9/13/19,Friday,9,September,3,Q3,2019,2019
646,5/23/19,Thursday,5,May,2,Q2,2019,2019
647,3/12/19,Tuesday,3,March,1,Q1,2019,2019
648,6/9/19,Sunday,6,June,2,Q2,2019,2019
649,7/29/19,Monday,7,July,3,Q3,2019,2019
650,4/23/19,Tuesday,4,April,2,Q2,2019,2019
651,1/23/20,Thursday,1,January,1,Q1,2020,2020
652,10/29/19,Tuesday,10,October,4,Q4,2019,2019
653,2/3/19,Sunday,2,February,1,Q1,2019,2019
654,3/17/19,Sunday,3,March,1,Q1,2019,2019
655,2/13/19,Wednesday,2,February,1,Q1,2019,2019
656,12/16/19,Monday,12,December,4,Q4,2019,2019
657,4/28/19,Sunday,4,April,2,Q2,2019,2019
658,8/28/19,Wednesday,8,August,3,Q3,2019,2019
659,3/19/19,Tuesday,3,March,1,Q1,2019,2019
660,1/23/20,Thursday,1,January,1,Q1,2020,2020
661,10/8/19,Tuesday,10,October,4,Q4,2019,2019
662,12/28/19,Saturday,12,December,4,Q4,2019,2019
663,9/19/19,Thursday,9,September,3,Q3,2019,2019
664,11/4/19,Monday,11,November,4,Q4,2019,2019
665,6/28/19,Friday,6,June,2,Q2,2019,2019
666,2/2/20,Sunday,2,February,1,Q1,2020,2020
667,11/28/19,Thursday,11,November,4,Q4,2019,2019
668,2/28/19,Thursday,2,February,1,Q1,2019,2019
669,1/28/20,Tuesday,1,January,1,Q1,2020,2020
670,5/15/19,Wednesday,5,May,2,Q2,2019,2019
671,3/6/20,Friday,3,March,1,Q1,2020,2020
672,1/21/20,Tuesday,1,January,1,Q1,2020,2020
673,11/17/19,Sunday,11,November,4,Q4,2019,2019
674,2/19/20,Wednesday,2,February,1,Q1,2020,2020
675,9/4/19,Wednesday,9,September,3,Q3,2019,2019
676,12/19/19,Thursday,12,December,4,Q4,2019,2019
677,2/27/19,Wednesday,2,February,1,Q1,2019,2019
678,12/18/19,Wednesday,12,December,4,Q4,2019,2019
679,1/12/20,Sunday,1,January,1,Q1,2020,2020
680,10/21/19,Monday,10,October,4,Q4,2019,2019
681,4/15/19,Monday,4,April,2,Q2,2019,2019
682,8/3/19,Saturday,8,August,3,Q3,2019,2019
683,6/28/19,Friday,6,June,2,Q2,2019,2019
684,5/22/19,Wednesday,5,May,2,Q2,2019,2019
685,8/12/19,Monday,8,August,3,Q3,2019,2019
686,6/8/19,Saturday,6,June,2,Q2,2019,2019
687,5/21/19,Tuesday,5,May,2,Q2,2019,2019
688,12/3/19,Tuesday,12,December,4,Q4,2019,2019
689,5/25/19,Saturday,5,May,2,Q2,2019,2019
690,2/1/20,Saturday,2,February,1,Q1,2020,2020
691,5/26/19,Sunday,5,May,2,Q2,2019,2019
692,1/18/20,Saturday,1,January,1,Q1,2020,2020
693,5/16/19,Thursday,5,May,2,Q2,2019,2019
694,7/30/19,Tuesday,7,July,3,Q3,2019,2019
695,12/12/19,Thursday,12,December,4,Q4,2019,2019
696,9/26/19,Thursday,9,September,3,Q3,2019,2019
697,6/10/19,Monday,6,June,2,Q2,2019,2019
698,7/24/19,Wednesday,7,July,3,Q3,2019,2019
699,4/27/19,Saturday,4,April,2,Q2,2019,2019
700,4/4/19,Thursday,4,April,2,Q2,2019,2019
701,8/27/19,Tuesday,8,August,3,Q3,2019,2019
702,7/19/19,Friday,7,July,3,Q3,2019,2019
703,1/10/20,Friday,1,January,1,Q1,2020,2020
704,3/28/19,Thursday,3,March,1,Q1,2019,2019
705,6/3/19,Monday,6,June,2,Q2,2019,2019
706,4/8/19,Monday,4,April,2,Q2,2019,2019
707,1/28/20,Tuesday,1,January,1,Q1,2020,2020
708,8/20/19,Tuesday,8,August,3,Q3,2019,2019
709,7/27/19,Saturday,7,July,3,Q3,2019,2019
710,12/1/19,Sunday,12,December,4,Q4,2019,2019
711,10/31/19,Thursday,10,October,4,Q4,2019,2019
712,1/25/19,Friday,1,January,1,Q1,2019,2019
713,7/14/19,Sunday,7,July,3,Q3,2019,2019
714,12/14/19,Saturday,12,December,4,Q4,2019,2019
715,9/5/19,Thursday,9,September,3,Q3,2019,2019
716,3/4/19,Monday,3,March,1,Q1,2019,2019
717,11/4/19,Monday,11,November,4,Q4,2019,2019
718,3/4/19,Monday,3,March,1,Q1,2019,2019
719,1/27/20,Monday,1,January,1,Q1,2020,2020
720,1/9/19,Wednesday,1,January,1,Q1,2019,2019
721,5/29/19,Wednesday,5,May,2,Q2,2019,2019
722,7/7/19,Sunday,7,July,3,Q3,2019,2019
723,12/8/19,Sunday,12,December,4,Q4,2019,2019
724,3/6/19,Wednesday,3,March,1,Q1,2019,2019
725,5/25/19,Saturday,5,May,2,Q2,2019,2019
726,8/24/19,Saturday,8,August,3,Q3,2019,2019
727,7/25/19,Thursday,7,July,3,Q3,2019,2019
728,10/30/19,Wednesday,10,October,4,Q4,2019,2019
729,1/14/20,Tuesday,1,January,1,Q1,2020,2020
730,4/4/19,Thursday,4,April,2,Q2,2019,2019
731,11/2/19,Saturday,11,November,4,Q4,2019,2019
732,8/17/19,Saturday,8,August,3,Q3,2019,2019
733,10/3/19,Thursday,10,October,4,Q4,2019,2019
734,7/1/19,Monday,7,July,3,Q3,2019,2019
735,1/4/20,Saturday,1,January,1,Q1,2020,2020
736,1/4/20,Saturday,1,January,1,Q1,2020,2020
737,9/29/19,Sunday,9,September,3,Q3,2019,2019
738,11/29/19,Friday,11,November,4,Q4,2019,2019
739,3/17/19,Sunday,3,March,1,Q1,2019,2019
740,4/7/19,Sunday,4,April,2,Q2,2019,2019
741,10/12/19,Saturday,10,October,4,Q4,2019,2019
742,4/15/19,Monday,4,April,2,Q2,2019,2019
743,8/25/19,Sunday,8,August,3,Q3,2019,2019
744,4/20/19,Saturday,4,April,2,Q2,2019,2019
745,8/20/19,Tuesday,8,August,3,Q3,2019,2019
746,12/6/19,Friday,12,December,4,Q4,2019,2019
747,3/12/19,Tuesday,3,March,1,Q1,2019,2019
748,4/20/19,Saturday,4,April,2,Q2,2019,2019
749,2/12/19,Tuesday,2,February,1,Q1,2019,2019
750,3/30/19,Saturday,3,March,1,Q1,2019,2019
751,4/13/19,Saturday,4,April,2,Q2,2019,2019
752,8/30/19,Friday,8,August,3,Q3,2019,2019
753,3/24/19,Sunday,3,March,1,Q1,2019,2019
754,10/28/19,Monday,10,October,4,Q4,2019,2019
755,1/31/20,Friday,1,January,1,Q1,2020,2020
756,10/16/19,Wednesday,10,October,4,Q4,2019,2019
757,2/20/19,Wednesday,2,February,1,Q1,2019,2019
758,4/26/19,Friday,4,April,2,Q2,2019,2019
759,2/9/20,Sunday,2,February,1,Q1,2020,2020
760,1/13/20,Monday,1,January,1,Q1,2020,2020
761,7/19/19,Friday,7,July,3,Q3,2019,2019
762,1/1/20,Wednesday,1,January,1,Q1,2020,2020
763,6/6/19,Thursday,6,June,2,Q2,2019,2019
764,12/19/19,Thursday,12,December,4,Q4,2019,2019
765,6/24/19,Monday,6,June,2,Q2,2019,2019
766,12/25/19,Wednesday,12,December,4,Q4,2019,2019
767,2/5/19,Tuesday,2,February,1,Q1,2019,2019
768,8/22/19,Thursday,8,August,3,Q3,2019,2019
769,11/3/19,Sunday,11,November,4,Q4,2019,2019
770,10/14/19,Monday,10,October,4,Q4,2019,2019
771,10/11/19,Friday,10,October,4,Q4,2019,2019
772,4/14/19,Sunday,4,April,2,Q2,2019,2019
773,9/22/19,Sunday,9,September,3,Q3,2019,2019
774,5/18/19,Saturday,5,May,2,Q2,2019,2019
775,11/6/19,Wednesday,11,November,4,Q4,2019,2019
776,3/9/19,Saturday,3,March,1,Q1,2019,2019
777,4/26/19,Friday,4,April,2,Q2,2019,2019
778,5/20/19,Monday,5,May,2,Q2,2019,2019
779,1/2/20,Thursday,1,January,1,Q1,2020,2020
780,6/16/19,Sunday,6,June,2,Q2,2019,2019
781,6/28/19,Friday,6,June,2,Q2,2019,2019
782,5/20/19,Monday,5,May,2,Q2,2019,2019
783,11/2/19,Saturday,11,November,4,Q4,2019,2019
784,9/17/19,Tuesday,9,September,3,Q3,2019,2019
785,2/17/19,Sunday,2,February,1,Q1,2019,2019
786,3/1/19,Friday,3,March,1,Q1,2019,2019
787,5/15/19,Wednesday,5,May,2,Q2,2019,2019
788,1/12/20,Sunday,1,January,1,Q1,2020,2020
789,1/31/20,Friday,1,January,1,Q1,2020,2020
790,1/18/20,Saturday,1,January,1,Q1,2020,2020
791,6/9/19,Sunday,6,June,2,Q2,2019,2019
792,7/14/19,Sunday,7,July,3,Q3,2019,2019
793,1/25/20,Saturday,1,January,1,Q1,2020,2020
794,4/21/19,Sunday,4,April,2,Q2,2019,2019
795,10/12/19,Saturday,10,October,4,Q4,2019,2019
796,11/30/19,Saturday,11,November,4,Q4,2019,2019
797,2/22/20,Saturday,2,February,1,Q1,2020,2020
798,8/25/19,Sunday,8,August,3,Q3,2019,2019
799,2/9/20,Sunday,2,February,1,Q1,2020,2020
800,11/23/19,Saturday,11,November,4,Q4,2019,2019
801,1/3/20,Friday,1,January,1,Q1,2020,2020
802,11/9/19,Saturday,11,November,4,Q4,2019,2019
803,5/3/19,Friday,5,May,2,Q2,2019,2019
804,12/3/19,Tuesday,12,December,4,Q4,2019,2019
805,8/7/19,Wednesday,8,August,3,Q3,2019,2019
806,6/2/19,Sunday,6,June,2,Q2,2019,2019
807,10/15/19,Tuesday,10,October,4,Q4,2019,2019
808,11/25/19,Monday,11,November,4,Q4,2019,2019
809,12/6/19,Friday,12,December,4,Q4,2019,2019
810,7/8/19,Monday,7,July,3,Q3,2019,2019
811,8/6/19,Tuesday,8,August,3,Q3,2019,2019
812,8/29/19,Thursday,8,August,3,Q3,2019,2019
813,8/11/19,Sunday,8,August,3,Q3,2019,2019
814,9/9/19,Monday,9,September,3,Q3,2019,2019
815,5/24/19,Friday,5,May,2,Q2,2019,2019
816,4/14/19,Sunday,4,April,2,Q2,2019,2019
817,1/29/20,Wednesday,1,January,1,Q1,2020,2020
818,3/4/19,Monday,3,March,1,Q1,2019,2019
819,4/3/19,Wednesday,4,April,2,Q2,2019,2019
820,11/2/19,Saturday,11,November,4,Q4,2019,2019
821,3/25/19,Monday,3,March,1,Q1,2019,2019
822,2/20/20,Thursday,2,February,1,Q1,2020,2020
823,10/15/19,Tuesday,10,October,4,Q4,2019,2019
824,2/9/20,Sunday,2,February,1,Q1,2020,2020
825,5/9/19,Thursday,5,May,2,Q2,2019,2019
826,9/24/19,Tuesday,9,September,3,Q3,2019,2019
827,3/4/19,Monday,3,March,1,Q1,2019,2019
828,10/1/19,Tuesday,10,October,4,Q4,2019,2019
829,8/14/19,Wednesday,8,August,3,Q3,2019,2019
830,12/12/19,Thursday,12,December,4,Q4,2019,2019
831,4/24/19,Wednesday,4,April,2,Q2,2019,2019
832,1/3/20,Friday,1,January,1,Q1,2020,2020
833,12/12/19,Thursday,12,December,4,Q4,2019,2019
834,6/26/19,Wednesday,6,June,2,Q2,2019,2019
835,5/10/19,Friday,5,May,2,Q2,2019,2019
836,2/23/20,Sunday,2,February,1,Q1,2020,2020
837,11/15/19,Friday,11,November,4,Q4,2019,2019
838,2/17/20,Monday,2,February,1,Q1,2020,2020
839,1/15/20,Wednesday,1,January,1,Q1,2020,2020
840,11/26/19,Tuesday,11,November,4,Q4,2019,2019
841,1/26/20,Sunday,1,January,1,Q1,2020,2020
842,12/25/19,Wednesday,12,December,4,Q4,2019,2019
843,1/6/20,Monday,1,January,1,Q1,2020,2020
844,3/29/19,Friday,3,March,1,Q1,2019,2019
845,11/1/19,Friday,11,November,4,Q4,2019,2019
846,5/31/19,Friday,5,May,2,Q2,2019,2019
847,9/18/19,Wednesday,9,September,3,Q3,2019,2019
848,10/25/19,Friday,10,October,4,Q4,2019,2019
849,10/22/19,Tuesday,10,October,4,Q4,2019,2019
850,8/24/19,Saturday,8,August,3,Q3,2019,2019
851,7/7/19,Sunday,7,July,3,Q3,2019,2019
852,2/18/20,Tuesday,2,February,1,Q1,2020,2020
853,7/13/19,Saturday,7,July,3,Q3,2019,2019
854,7/28/19,Sunday,7,July,3,Q3,2019,2019
855,11/19/19,Tuesday,11,November,4,Q4,2019,2019
856,12/13/19,Friday,12,December,4,Q4,2019,2019
857,10/5/19,Saturday,10,October,4,Q4,2019,2019
858,8/15/19,Thursday,8,August,3,Q3,2019,2019
859,9/5/19,Thursday,9,September,3,Q3,2019,2019
860,11/5/19,Tuesday,11,November,4,Q4,2019,2019
861,5/2/19,Thursday,5,May,2,Q2,2019,2019
862,3/28/19,Thursday,3,March,1,Q1,2019,2019
863,12/17/19,Tuesday,12,December,4,Q4,2019,2019
864,4/27/19,Saturday,4,April,2,Q2,2019,2019
865,2/10/19,Sunday,2,February,1,Q1,2019,2019
866,7/30/19,Tuesday,7,July,3,Q3,2019,2019
867,3/24/19,Sunday,3,March,1,Q1,2019,2019
868,5/7/19,Tuesday,5,May,2,Q2,2019,2019
869,5/26/19,Sunday,5,May,2,Q2,2019,2019
870,12/22/19,Sunday,12,December,4,Q4,2019,2019
871,7/1/19,Monday,7,July,3,Q3,2019,2019
872,9/20/19,Friday,9,September,3,Q3,2019,2019
873,12/22/19,Sunday,12,December,4,Q4,2019,2019
874,10/5/19,Saturday,10,October,4,Q4,2019,2019
875,7/19/19,Friday,7,July,3,Q3,2019,2019
876,5/18/19,Saturday,5,May,2,Q2,2019,2019
877,6/9/19,Sunday,6,June,2,Q2,2019,2019
878,1/15/20,Wednesday,1,January,1,Q1,2020,2020
879,9/17/19,Tuesday,9,September,3,Q3,2019,2019
880,7/24/19,Wednesday,7,July,3,Q3,2019,2019
881,1/13/20,Monday,1,January,1,Q1,2020,2020
882,11/13/19,Wednesday,11,November,4,Q4,2019,2019
883,5/14/19,Tuesday,5,May,2,Q2,2019,2019
884,11/17/19,Sunday,11,November,4,Q4,2019,2019
885,6/5/19,Wednesday,6,June,2,Q2,2019,2019
886,10/29/19,Tuesday,10,October,4,Q4,2019,2019
887,4/23/19,Tuesday,4,April,2,Q2,2019,2019
888,1/26/20,Sunday,1,January,1,Q1,2020,2020
889,7/10/19,Wednesday,7,July,3,Q3,2019,2019
890,6/10/19,Monday,6,June,2,Q2,2019,2019
891,8/19/19,Monday,8,August,3,Q3,2019,2019
892,7/26/19,Friday,7,July,3,Q3,2019,2019
893,1/31/20,Friday,1,January,1,Q1,2020,2020
894,10/16/19,Wednesday,10,October,4,Q4,2019,2019
895,11/27/19,Wednesday,11,November,4,Q4,2019,2019
896,2/4/20,Tuesday,2,February,1,Q1,2020,2020
897,4/17/19,Wednesday,4,April,2,Q2,2019,2019
898,7/27/19,Saturday,7,July,3,Q3,2019,2019
899,8/24/19,Saturday,8,August,3,Q3,2019,2019
900,4/15/19,Monday,4,April,2,Q2,2019,2019
901,6/21/19,Friday,6,June,2,Q2,2019,2019
902,4/21/19,Sunday,4,April,2,Q2,2019,2019
903,3/22/19,Friday,3,March,1,Q1,2019,2019
904,2/21/19,Thursday,2,February,1,Q1,2019,2019
905,12/4/19,Wednesday,12,December,4,Q4,2019,2019
906,5/26/19,Sunday,5,May,2,Q2,2019,2019
907,1/28/20,Tuesday,1,January,1,Q1,2020,2020
908,8/21/19,Wednesday,8,August,3,Q3,2019,2019
909,1/19/20,Sunday,1,January,1,Q1,2020,2020
910,3/1/19,Friday,3,March,1,Q1,2019,2019
911,2/28/19,Thursday,2,February,1,Q1,2019,2019
912,3/29/19,Friday,3,March,1,Q1,2019,2019
913,12/9/19,Monday,12,December,4,Q4,2019,2019
914,10/12/19,Saturday,10,October,4,Q4,2019,2019
915,12/24/19,Tuesday,12,December,4,Q4,2019,2019
916,9/28/19,Saturday,9,September,3,Q3,2019,2019
917,3/31/19,Sunday,3,March,1,Q1,2019,2019
918,10/23/19,Wednesday,10,October,4,Q4,2019,2019
919,2/2/20,Sunday,2,February,1,Q1,2020,2020
920,3/4/19,Monday,3,March,1,Q1,2019,2019
921,12/17/19,Tuesday,12,December,4,Q4,2019,2019
922,2/5/20,Wednesday,2,February,1,Q1,2020,2020
923,8/28/19,Wednesday,8,August,3,Q3,2019,2019
924,12/12/19,Thursday,12,December,4,Q4,2019,2019
925,1/26/19,Saturday,1,January,1,Q1,2019,2019
926,12/16/19,Monday,12,December,4,Q4,2019,2019
927,1/22/19,Tuesday,1,January,1,Q1,2019,2019
928,1/6/20,Monday,1,January,1,Q1,2020,2020
929,8/9/19,Friday,8,August,3,Q3,2019,2019
930,12/16/19,Monday,12,December,4,Q4,2019,2019
931,2/1/20,Saturday,2,February,1,Q1,2020,2020
932,5/2/19,Thursday,5,May,2,Q2,2019,2019
933,9/26/19,Thursday,9,September,3,Q3,2019,2019
934,6/17/19,Monday,6,June,2,Q2,2019,2019
935,11/4/19,Monday,11,November,4,Q4,2019,2019
936,8/22/19,Thursday,8,August,3,Q3,2019,2019
937,1/16/20,Thursday,1,January,1,Q1,2020,2020
938,11/13/19,Wednesday,11,November,4,Q4,2019,2019
939,12/18/19,Wednesday,12,December,4,Q4,2019,2019
940,5/13/19,Monday,5,May,2,Q2,2019,2019
941,12/27/19,Friday,12,December,4,Q4,2019,2019
942,7/29/19,Monday,7,July,3,Q3,2019,2019
943,10/5/19,Saturday,10,October,4,Q4,2019,2019
944,1/16/19,Wednesday,1,January,1,Q1,2019,2019
945,10/31/19,Thursday,10,October,4,Q4,2019,2019
946,1/15/20,Wednesday,1,January,1,Q1,2020,2020
947,1/13/20,Monday,1,January,1,Q1,2020,2020
948,5/6/19,Monday,5,May,2,Q2,2019,2019
949,1/6/20,Monday,1,January,1,Q1,2020,2020
950,12/27/19,Friday,12,December,4,Q4,2019,2019
951,11/7/19,Thursday,11,November,4,Q4,2019,2019
952,9/23/19,Monday,9,September,3,Q3,2019,2019
953,1/11/20,Saturday,1,January,1,Q1,2020,2020
954,11/17/19,Sunday,11,November,4,Q4,2019,2019
955,5/12/19,Sunday,5,May,2,Q2,2019,2019
956,6/21/19,Friday,6,June,2,Q2,2019,2019
957,5/15/19,Wednesday,5,May,2,Q2,2019,2019
958,6/9/19,Sunday,6,June,2,Q2,2019,2019
959,12/9/19,Monday,12,December,4,Q4,2019,2019
960,3/29/19,Friday,3,March,1,Q1,2019,2019
961,9/28/19,Saturday,9,September,3,Q3,2019,2019
962,12/24/19,Tuesday,12,December,4,Q4,2019,2019
963,9/6/19,Friday,9,September,3,Q3,2019,2019
